Transaction_ID,Customer_ID,Name,Email,Phone,Address,City,State,Zipcode,Country,Age,Gender,Income,Customer_Segment,Date,Year,Month,Time,Total_Purchases,Amount,Total_Amount,Product_Category,Product_Brand,Product_Type,Feedback,Shipping_Method,Payment_Method,Order_Status,Ratings,products,Date_parsed,Time_parsed,Data_Quality_Issues
9823195.0,14549.0,Danielle Bennett,James20@gmail.com,2200037745.0,9980 Bryant Road,Portsmouth,England,84238.0,UK,62.0,Female,Medium,Regular,11-08-23,,November,17:08:17,4.0,104.5063373,418.0253491,Books,Penguin Books,Fiction,Excellent,Express,Cash,Processing,5.0,Literary fiction,2023-11-08,2025-11-15 17:08:17,Missing values; 
7379891.0,47846.0,Mary Kim,Katherine73@gmail.com,3268643153.0,5028 Tammy Brook,Portsmouth,England,97711.0,UK,65.0,Male,Low,Regular,6/24/2023,2023.0,June,1:17:23,4.0,478.109162,1912.436648,Grocery,Coca-Cola,Juice,,Same-Day,Debit Card,Delivered,,Pineapple juice,2023-06-24,2025-11-15 01:17:23,Missing values; 
7018142.0,67530.0,Mathew Fitzgerald,Erik18@gmail.com,,4169 Robert Lodge,Portsmouth,England,67486.0,UK,50.0,Male,Low,Regular,8/23/2023,2023.0,August,1:40:26,7.0,178.0342511,1246.239758,Clothing,Adidas,T-shirt,Excellent,Standard,PayPal,Processing,4.0,Crew neck tee,2023-08-23,2025-11-15 01:40:26,Missing values; 
7361679.0,47748.0,Alexis Smith,Karen91@gmail.com,9388217725.0,69821 Beard Locks,Portsmouth,England,25474.0,UK,39.0,Male,Medium,Regular,03-05-23,2023.0,March,7:54:44,10.0,300.2684416,3002.684416,Clothing,Adidas,Jacket,,Standard,PayPal,Pending,,Varsity jacket,2023-03-05,2025-11-15 07:54:44,Missing values; 
5050125.0,14196.0,Michael Perkins,Tabitha57@gmail.com,8979005491.0,432 Raven Terrace,Portsmouth,England,69649.0,UK,37.0,Male,High,Regular,09-12-23,2023.0,September,18:24:39,1.0,253.0541571,253.0541571,Clothing,Zara,Dress,Average,,PayPal,Pending,2.0,Sheath dress,2023-09-12,2025-11-15 18:24:39,Missing values; 
8744927.0,39728.0,Derek Perez,Brandon75@gmail.com,2175018981.0,54835 Jon Viaduct Suite 484,Portsmouth,England,527.0,UK,50.0,Male,High,Regular,7/23/2023,2023.0,July,20:46:04,,417.0340015,1251.102005,Grocery,Pepsi,Water,Average,Standard,Credit Card,Pending,2.0,Sparkling water,2023-07-23,2025-11-15 20:46:04,Missing values; 
3601539.0,93979.0,Sarah Hess,Tammy57@gmail.com,5973779364.0,294 Palmer Inlet Apt. 966,Portsmouth,England,51469.0,UK,,Female,Low,Regular,01-09-24,2024.0,January,8:44:51,10.0,32.11555907,321.1555907,Grocery,Coca-Cola,Water,Average,Same-Day,Credit Card,Pending,2.0,Bottled water,2024-01-09,2025-11-15 08:44:51,Missing values; 
9596556.0,36083.0,Fred Whitaker,Scott44@gmail.com,3207950518.0,658 Louis Courts Apt. 000,Portsmouth,England,72704.0,UK,69.0,Female,Medium,Regular,3/16/2023,2023.0,March,13:26:29,7.0,222.9131135,1560.391794,,Nestle,Chocolate,Excellent,Standard,Debit Card,Shipped,5.0,White chocolate,2023-03-16,2025-11-15 13:26:29,Missing values; 
7637365.0,23631.0,Rita Ruiz MD,Elizabeth9@gmail.com,7884475046.0,592 Jacob Groves Suite 528,Portsmouth,England,86955.0,UK,48.0,,Medium,Regular,2/29/2024,2024.0,February,3:41:21,9.0,159.507104,1435.563936,Electronics,Apple,Smartphone,Excellent,Standard,Cash,Shipped,5.0,iPhone,2024-02-29,2025-11-15 03:41:21,Missing values; 
4138830.0,17705.0,Michelle Simmons,Peter4@gmail.com,3235195556.0,91972 Randolph Locks,Portsmouth,England,98403.0,UK,62.0,Male,Low,Regular,7/14/2023,2023.0,July,18:24:33,5.0,64.80243279,324.0121639,,HarperCollins,Non-Fiction,Excellent,Same-Day,Cash,Pending,5.0,Self-help,2023-07-14,2025-11-15 18:24:33,Missing values; 
